,nama_kabupaten_kota,jumlah_siswa,tahun
0,Kabupaten Bandung,1930.0,2019
1,Kabupaten Bandung Barat,1069.0,2019
2,Kabupaten Bekasi,1301.0,2019
3,Kabupaten Bogor,4180.0,2019
4,Kabupaten Ciamis,346.0,2019
5,Kabupaten Cianjur,1842.0,2019
6,Kabupaten Cirebon,1283.0,2019
7,Kabupaten Garut,2270.0,2019
8,Kabupaten Indramayu,1443.0,2019
9,Kabupaten Karawang,933.0,2019
10,Kabupaten Kuningan,404.0,2019
11,Kabupaten Majalengka,296.0,2019
12,Kabupaten Pangandaran,110.0,2019
13,Kabupaten Purwakarta,442.0,2019
14,Kabupaten Subang,734.0,2019
15,Kabupaten Sukabumi,1245.0,2019
16,Kabupaten Sumedang,330.0,2019
17,Kabupaten Tasikmalaya,851.0,2019
18,Kota Bandung,720.0,2019
19,Kota Banjar,67.0,2019
20,Kota Bekasi,902.0,2019
21,Kota Bogor,530.0,2019
22,Kota Cimahi,247.0,2019
23,Kota Cirebon,299.0,2019
24,Kota Depok,726.0,2019
25,Kota Sukabumi,187.0,2019
26,Kota Tasikmalaya,294.0,2019
